Total Events,Total Deaths,Total Affected,"Total Damage (USD, original)",Cluster
-0.6385648418464714,-0.0917837082385563,-0.1862072127094931,-0.2432489489771614,0
-0.6385648418464714,-0.0886637595474088,-0.1061296826274241,-0.2432489489771614,0
0.1496636348077666,-0.0904900709763732,-0.1741396690653418,-0.3372588204224999,0
-0.2444506035193524,-0.0912510340717751,-0.1839519879442171,-0.2432489489771614,0
-0.2444506035193524,-0.0911749377622349,0.0009893114233329,-0.3101712303450294,0
-0.2444506035193524,-0.0890442410951097,-0.1593233892736131,-0.3197315562547249,0
-0.6385648418464714,-0.0912510340717751,-0.1906211476281216,-0.2432489489771614,0
0.5437778731348857,-0.0472673671575488,0.2162419898115346,1.0999768413350464,0
-0.6385648418464714,0.2229506280196439,1.0949309631149713,1.969966499117331,0
-0.6385648418464714,-0.0886637595474088,-0.1597589918887605,-0.2432489489771614,0
-0.6385648418464714,-0.0576164652550138,-0.1611886950067186,0.0579013171782445,0
-0.2444506035193524,-0.0884354706187883,-0.177131622034966,-0.2432489489771614,0
0.5437778731348857,-0.0896530115714312,-0.1144202877916411,-0.2432489489771614,0
-0.2444506035193524,-0.0884354706187883,-0.1597499838583143,-0.2432489489771614,0
-0.6385648418464714,-0.0886637595474088,-0.1835659294965236,-0.2432489489771614,0
0.9378921114620048,-0.0882071816901677,-0.0081982362010251,-0.2432489489771614,0
0.1496636348077666,-0.0703245489482245,0.172026072366457,1.7357385143297923,0
2.120234826443362,-0.0890442410951097,0.0417873247448311,-0.3165447809514931,0
-0.2444506035193524,-0.0853155219276407,-0.1871028683081419,-0.2432489489771614,0
-0.6385648418464714,-0.0886637595474088,-0.1909267772325455,-0.2432489489771614,0
-0.6385648418464714,-0.0886637595474088,-0.1792317799904184,-0.2432489489771614,0
-0.6385648418464714,-0.0886637595474088,-0.1915766422861629,-0.2432489489771614,0
2.120234826443362,-0.0900334931191321,-0.0885949079331873,-0.3256270905657037,0
4.879034494733196,-0.0791517208548858,0.2678689425908344,-0.3085778426934136,0
-0.2444506035193524,-0.0919359008576367,-0.1837222831678395,-0.2432489489771614,0
-0.6385648418464714,-0.0912510340717751,-0.1918211459697021,-0.2432489489771614,0
0.9378921114620048,-0.0828043437128147,-0.1188039814652003,-0.246913740575878,0
-0.6385648418464714,-0.0886637595474088,-0.1910754097349075,-0.2432489489771614,0
-0.6385648418464714,-0.086685255499364,-0.1848579384348044,-0.3085778426934136,0
-0.6385648418464714,-0.0914032266908554,-0.1911101549951999,-0.2432489489771614,0
5.273148733060315,-0.0884354706187883,0.4068969542049479,-0.2607762131449364,0
-0.6385648418464714,-0.0918598045480965,-0.1854962217349909,-0.2432489489771614,0
-0.2444506035193524,-0.0896530115714312,-0.1908617907271838,-0.2432489489771614,0
-0.6385648418464714,-0.0748903275206355,0.1359778648130805,0.9342645255669924,0
0.9378921114620048,-0.0655304814471929,1.2565884340713829,-0.2416555613255455,0
-0.6385648418464714,-0.0886637595474088,-0.1903290300693668,-0.2432489489771614,0
-0.6385648418464714,-0.0886637595474088,-0.1917677412177711,-0.2432489489771614,0
-0.6385648418464714,-0.0913271303813152,-0.1661920124888258,-0.2432489489771614,0
3.696691779751838,-0.0886637595474088,0.0098287630140207,-0.2225349095061547,0
-0.6385648418464714,-0.0886637595474088,11.872395961223948,-0.2432489489771614,0
0.1496636348077666,-0.091631515619476,-0.1869909113583107,-0.2432489489771614,0
-0.2444506035193524,-0.0903378783572929,-0.1904403435884518,-0.2432489489771614,0
0.9378921114620048,-0.091631515619476,-0.0957588658608856,-0.2432489489771614,0
-0.2444506035193524,-0.087522314904306,-0.1910696188581921,-0.2432489489771614,0
-0.2444506035193524,-0.0920119971671769,-0.1912935327578543,-0.2432489489771614,0
0.1496636348077666,-0.0919359008576367,-0.095281440247238,-0.2289084601126183,0
-0.6385648418464714,-0.0913271303813152,-0.1845239978775496,-0.2432489489771614,0
-0.6385648418464714,-0.0886637595474088,-0.1864613678542246,-0.2432489489771614,0
-0.6385648418464714,-0.0886637595474088,-0.1906365899660293,-0.2432489489771614,0
-0.2444506035193524,-0.0889681447855696,-0.190891388541507,-0.2432489489771614,0
1.3320063497891237,-0.0834892104986763,-0.1215758811196393,-0.2432489489771614,0
1.3320063497891237,-0.0826521510937343,0.1421393576382681,-0.3085778426934136,0
0.1496636348077666,-0.0919359008576367,-0.1913462940790391,-0.2432489489771614,0
-0.6385648418464714,-0.0886637595474088,-0.1904242578197979,-0.2432489489771614,0
-0.6385648418464714,-0.0886637595474088,-0.1915888674703398,-0.2432489489771614,0
-0.6385648418464714,-0.0903378783572929,-0.191915730289387,-0.2432489489771614,0
3.302577541424719,-0.0873701222852257,-0.0978570935240995,-0.2432489489771614,0
